verb,uri,controller,method
PUT,images-users/cambiar-imagen-perfil/{user_id},"App\Http\Controllers\Perfiles\ImagesUsuariosController",putCambiarImagenPerfil
PUT,images-users/cambiar-imagen-un-usuario/{user_id},"App\Http\Controllers\Perfiles\ImagesUsuariosController",putCambiarImagenUnUsuario
DELETE,images-users/destroy/{id},"App\Http\Controllers\Perfiles\ImagesUsuariosController",deleteDestroy
PUT,images-users/rotar-imagen-izquierda/{imagen_id},"App\Http\Controllers\Perfiles\ImagesUsuariosController",putRotarImagenIzquierda
PUT,images-users/rotarimagen/{imagen_id},"App\Http\Controllers\Perfiles\ImagesUsuariosController",putRotarimagen
PUT,/publicaciones/borrar-comentario,"App\Http\Controllers\Perfiles\PublicacionesController",putBorrarComentario
PUT,/publicaciones/comentar,"App\Http\Controllers\Perfiles\PublicacionesController",putComentar
PUT,/publicaciones/delete,"App\Http\Controllers\Perfiles\PublicacionesController",putDelete
PUT,/publicaciones/guardar-edicion,"App\Http\Controllers\Perfiles\PublicacionesController",putGuardarEdicion
PUT,/publicaciones/restaurar,"App\Http\Controllers\Perfiles\PublicacionesController",putRestaurar
PUT,/publicaciones/store,"App\Http\Controllers\Perfiles\PublicacionesController",putStore
PUT,/publicaciones/ultimas,"App\Http\Controllers\Perfiles\PublicacionesController",putUltimas
GET,/publicaciones/ultimas,"App\Http\Controllers\Perfiles\PublicacionesController",getUltimas
PUT,calendario/crear-evento,"App\Http\Controllers\Perfiles\CalendarioController",putCrearEvento
PUT,calendario/eliminar-evento,"App\Http\Controllers\Perfiles\CalendarioController",putEliminarEvento
PUT,calendario/guardar-evento,"App\Http\Controllers\Perfiles\CalendarioController",putGuardarEvento
PUT,calendario/sincronizar-cumples,"App\Http\Controllers\Perfiles\CalendarioController",putSincronizarCumples
PUT,calendario/this-year,"App\Http\Controllers\Perfiles\CalendarioController",putThisYear
PUT,editnota/alum-asignatura,"App\Http\Controllers\EditnotaController",putAlumAsignatura
GET,editnota/detailed-notas-year,"App\Http\Controllers\EditnotaController",getDetailedNotasYear
GET,editnota/trashed,"App\Http\Controllers\EditnotaController",getTrashed
DELETE,editnota/destroy/{id},"App\Http\Controllers\EditnotaController",deleteDestroy
PUT,editnota/detailed-notas/{grupo_id},"App\Http\Controllers\EditnotaController",putDetailedNotas
DELETE,editnota/forcedelete/{id},"App\Http\Controllers\EditnotaController",deleteForcedelete
PUT,editnota/restore/{id},"App\Http\Controllers\EditnotaController",putRestore
GET,votaciones,"App\Http\Controllers\VtVotacionesController",getIndex
GET,votaciones/actual,"App\Http\Controllers\VtVotacionesController",getActual
GET,votaciones/actual-in-action,"App\Http\Controllers\VtVotacionesController",getActualInAction
GET,votaciones/en-accion-inscrito,"App\Http\Controllers\VtVotacionesController",getEnAccionInscrito
PUT,votaciones/set-actual,"App\Http\Controllers\VtVotacionesController",putSetActual
PUT,votaciones/set-in-action,"App\Http\Controllers\VtVotacionesController",putSetInAction
PUT,votaciones/set-locked,"App\Http\Controllers\VtVotacionesController",putSetLocked
PUT,votaciones/set-permiso-ver-results,"App\Http\Controllers\VtVotacionesController",putSetPermisoVerResults
PUT,votaciones/set-votan-acudientes,"App\Http\Controllers\VtVotacionesController",putSetVotanAcudientes
PUT,votaciones/set-votan-profes,"App\Http\Controllers\VtVotacionesController",putSetVotanProfes
POST,votaciones/store,"App\Http\Controllers\VtVotacionesController",postStore
GET,votaciones/unsignedsusers,"App\Http\Controllers\VtVotacionesController",getUnsignedsusers
DELETE,votaciones/destroy/{id},"App\Http\Controllers\VtVotacionesController",deleteDestroy
GET,votaciones/show/{id},"App\Http\Controllers\VtVotacionesController",getShow
PUT,votaciones/update/{id},"App\Http\Controllers\VtVotacionesController",putUpdate
POST,aspiraciones/store,"App\Http\Controllers\VtAspiracionesController",postStore
PUT,aspiraciones/update,"App\Http\Controllers\VtAspiracionesController",putUpdate
DELETE,aspiraciones/destroy/{id},"App\Http\Controllers\VtAspiracionesController",deleteDestroy
GET,participantes,"App\Http\Controllers\VtParticipantesController",getIndex
GET,participantes/allinscritos,"App\Http\Controllers\VtParticipantesController",getAllinscritos
PUT,participantes/datos,"App\Http\Controllers\VtParticipantesController",putDatos
PUT,participantes/guardar-inscripciones,"App\Http\Controllers\VtParticipantesController",putGuardarInscripciones
POST,participantes/inscribir-profesores,"App\Http\Controllers\VtParticipantesController",postInscribirProfesores
PUT,participantes/profesores,"App\Http\Controllers\VtParticipantesController",putProfesores
PUT,participantes/set-locked,"App\Http\Controllers\VtParticipantesController",putSetLocked
PUT,participantes/votantes,"App\Http\Controllers\VtParticipantesController",putVotantes
DELETE,participantes/destroy/{id},"App\Http\Controllers\VtParticipantesController",deleteDestroy
GET,candidatos,"App\Http\Controllers\VtCandidatosController",getIndex
GET,candidatos/conaspiraciones,"App\Http\Controllers\VtCandidatosController",getConaspiraciones
POST,candidatos/store,"App\Http\Controllers\VtCandidatosController",postStore
DELETE,candidatos/destroy/{id},"App\Http\Controllers\VtCandidatosController",deleteDestroy
GET,votos,"App\Http\Controllers\VtVotosController",getIndex
PUT,votos/show,"App\Http\Controllers\VtVotosController",putShow
POST,votos/store,"App\Http\Controllers\VtVotosController",postStore
DELETE,votos/destroy/{id},"App\Http\Controllers\VtVotosController",deleteDestroy
PUT,votos/update/{id},"App\Http\Controllers\VtVotosController",putUpdate
GET,planillas/listas-personalizadas,"App\Http\Controllers\PlanillasController",getListasPersonalizadas
GET,planillas/ver-ausencias,"App\Http\Controllers\PlanillasController",getVerAusencias
GET,planillas/ver-simat,"App\Http\Controllers\PlanillasController",getVerSimat
GET,planillas/show-grupo/{grupo_id},"App\Http\Controllers\PlanillasController",getShowGrupo
GET,planillas/show-profesor/{profesor_id},"App\Http\Controllers\PlanillasController",getShowProfesor
PUT,actas-evaluacion/acta-evaluacion-promocion,"App\Http\Controllers\Informes\ActasEvaluacionController",putActaEvaluacionPromocion
PUT,actas-evaluacion/detalle,"App\Http\Controllers\Informes\ActasEvaluacionController",putDetalle
GET,certificados-estudio/certificado-alumno/{grupo_id},"App\Http\Controllers\CertificadosEstudioController",getCertificadoAlumno
GET,certificados-estudio/certificado-grupo/{grupo_id},"App\Http\Controllers\CertificadosEstudioController",getCertificadoGrupo
GET,password/remind,"App\Http\Controllers\RemindersController",getRemind
POST,password/remind,"App\Http\Controllers\RemindersController",postRemind
POST,password/reset,"App\Http\Controllers\RemindersController",postReset
GET,password/reset/{token?},"App\Http\Controllers\RemindersController",getReset
POST,asistencias-app,"App\Http\Controllers\AppMobile\AsistenciasAppController",postIndex
GET,asistencias-app/datos-solo-alumnos,"App\Http\Controllers\AppMobile\AsistenciasAppController",getDatosSoloAlumnos
PUT,asistencias-app/detailed,"App\Http\Controllers\AppMobile\AsistenciasAppController",putDetailed
PUT,asistencias-app/eliminar-ausencia,"App\Http\Controllers\AppMobile\AsistenciasAppController",putEliminarAusencia
PUT,asistencias-app/poner-ausencia,"App\Http\Controllers\AppMobile\AsistenciasAppController",putPonerAusencia
POST,tardanzas/login,"App\Http\Controllers\Tardanzas\TLoginController",postIndex
POST,tardanzas/login/traer-datos,"App\Http\Controllers\Tardanzas\TLoginController",postTraerDatos
POST,tardanzas/login/traer-datos-ausencias,"App\Http\Controllers\Tardanzas\TLoginController",postTraerDatosAusencias
POST,tardanzas/subir,"App\Http\Controllers\Tardanzas\TSubirController",postIndex
PUT,tardanzas/subir/eliminar-ausencia,"App\Http\Controllers\Tardanzas\TSubirController",putEliminarAusencia
PUT,tardanzas/subir/poner-ausencia,"App\Http\Controllers\Tardanzas\TSubirController",putPonerAusencia
PUT,actividades/compartidas,"App\Http\Controllers\Actividades\ActividadesController",putCompartidas
POST,actividades/crear,"App\Http\Controllers\Actividades\ActividadesController",postCrear
PUT,actividades/datos,"App\Http\Controllers\Actividades\ActividadesController",putDatos
PUT,actividades/edicion,"App\Http\Controllers\Actividades\ActividadesController",putEdicion
PUT,actividades/guardar,"App\Http\Controllers\Actividades\ActividadesController",putGuardar
PUT,actividades/insert-grupo-compartido,"App\Http\Controllers\Actividades\ActividadesController",putInsertGrupoCompartido
PUT,actividades/para-acudientes-toggle,"App\Http\Controllers\Actividades\ActividadesController",putParaAcudientesToggle
PUT,actividades/para-alumnos-toggle,"App\Http\Controllers\Actividades\ActividadesController",putParaAlumnosToggle
PUT,actividades/para-profesores-toggle,"App\Http\Controllers\Actividades\ActividadesController",putParaProfesoresToggle
PUT,actividades/quitando-grupo-compartido,"App\Http\Controllers\Actividades\ActividadesController",putQuitandoGrupoCompartido
PUT,actividades/set-compartida,"App\Http\Controllers\Actividades\ActividadesController",putSetCompartida
DELETE,actividades/destroy/{id},"App\Http\Controllers\Actividades\ActividadesController",deleteDestroy
PUT,mis-actividades/datos,"App\Http\Controllers\Actividades\MisActividadesController",putDatos
PUT,mis-actividades/finalizar-actividad,"App\Http\Controllers\Actividades\MisActividadesController",putFinalizarActividad
PUT,mis-actividades/guardar,"App\Http\Controllers\Actividades\MisActividadesController",putGuardar
PUT,mis-actividades/mi-actividad,"App\Http\Controllers\Actividades\MisActividadesController",putMiActividad
PUT,mis-actividades/seleccionar-opcion,"App\Http\Controllers\Actividades\MisActividadesController",putSeleccionarOpcion
POST,preguntas/crear,"App\Http\Controllers\Actividades\PreguntasController",postCrear
PUT,preguntas/duplicar-pregunta,"App\Http\Controllers\Actividades\PreguntasController",putDuplicarPregunta
PUT,preguntas/edicion,"App\Http\Controllers\Actividades\PreguntasController",putEdicion
PUT,preguntas/guardar,"App\Http\Controllers\Actividades\PreguntasController",putGuardar
PUT,preguntas/toggle-opcion-otra,"App\Http\Controllers\Actividades\PreguntasController",putToggleOpcionOtra
PUT,preguntas/update-orden,"App\Http\Controllers\Actividades\PreguntasController",putUpdateOrden
DELETE,preguntas/destroy/{id},"App\Http\Controllers\Actividades\PreguntasController",deleteDestroy
PUT,opciones/add-opcion,"App\Http\Controllers\Actividades\OpcionesController",putAddOpcion
PUT,opciones/guardar,"App\Http\Controllers\Actividades\OpcionesController",putGuardar
PUT,opciones/set-opcion-correct,"App\Http\Controllers\Actividades\OpcionesController",putSetOpcionCorrect
DELETE,opciones/destroy/{id},"App\Http\Controllers\Actividades\OpcionesController",deleteDestroy
PUT,respuestas/actividad,"App\Http\Controllers\Actividades\RespuestasController",putActividad
GET,piars-config,"App\Http\Controllers\Piars\PiarsConfigController",getIndex
PUT,piars-config/config,"App\Http\Controllers\Piars\PiarsConfigController",putConfig
PUT,piars-grupos/contexto-de-grupo,"App\Http\Controllers\Piars\PiarsGruposController",putContextoDeGrupo
GET,piars-grupos/grupos,"App\Http\Controllers\Piars\PiarsGruposController",getGrupos
GET,piars-grupos/contexto-de-grupo/{grupo_id},"App\Http\Controllers\Piars\PiarsGruposController",getContextoDeGrupo
POST,piars-alumnos/document,"App\Http\Controllers\Piars\PiarsAlumnosController",postDocument
PUT,piars-alumnos/field,"App\Http\Controllers\Piars\PiarsAlumnosController",putField
GET,piars-alumnos/alumnos/{grupo_id},"App\Http\Controllers\Piars\PiarsAlumnosController",getAlumnos
DELETE,piars-alumnos/document/{alumno_id},"App\Http\Controllers\Piars\PiarsAlumnosController",deleteDocument
PUT,piars-asignaturas/field,"App\Http\Controllers\Piars\PiarsAsignaturasController",putField
GET,piars-asignaturas/asignaturas/{grupo_id}/{alumno_id},"App\Http\Controllers\Piars\PiarsAsignaturasController",getAsignaturas
POST,piars-actas-acuerdo/document,"App\Http\Controllers\Piars\PiarsActasAcuerdoController",postDocument
DELETE,piars-actas-acuerdo/document/{alumno_id},"App\Http\Controllers\Piars\PiarsActasAcuerdoController",deleteDocument
GET,piars-actas-acuerdo/matriculas/{grupo_id},"App\Http\Controllers\Piars\PiarsActasAcuerdoController",getMatriculas
